Bill Number,Short Title,Ministry,Member,Date of Introduction,Debate/Date Passed in LS,Debate/Date Passed in RS,Status,Act No,Assent Date,Gazeette Notification,Referred to Committee Date
124,"THE CONSTITUTION (ONE HUNDRED AND TWENTY-EIGHTH AMENDMENT) BILL, 2023",LAW AND JUSTICE,,19 Sep 2023,20 Sep 2023,21 Sep 2023,Assented,,28/09/2023 ,,
119,"THE CENTRAL GOODS AND SERVICES TAX (AMENDMENT) BILL, 2023",FINANCE,,11 Aug 2023,11 Aug 2023,11 Aug 2023,Assented,30  of 2023,18/08/2023 ,,
120,"THE INTEGRATED GOODS AND SERVICES TAX (AMENDMENT) BILL, 2023",FINANCE,,11 Aug 2023,11 Aug 2023,11 Aug 2023,Assented,31  of 2023,18/08/2023 ,,
115,"THE ANUSANDHAN NATIONAL RESEARCH FOUNDATION BILL, 2023",SCIENCE AND TECHNOLOGY AND EARTH SCIENCES,,4 Aug 2023,7 Aug 2023,9 Aug 2023,Assented,25  of 2023,12/08/2023 ,,
113,"THE DIGITAL PERSONAL DATA PROTECTION BILL, 2023",ELECTRONICS AND INFORMATION TECHNOLOGY,,3 Aug 2023,7 Aug 2023,9 Aug 2023,Assented,22  of 2023,11/08/2023 ,,
114,"The Pharmacy (Amendment) Bill, 2023",HEALTH AND FAMILY WELFARE,,3 Aug 2023,7 Aug 2023,10 Aug 2023,Assented,29  of 2023,15/08/2023 ,,
112,"THE GOVERNMENT OF NATIONAL CAPITAL TERRITORY OF DELHI (AMENDMENT) BILL, 2023",HOME AFFAIRS,,1 Aug 2023,3 Aug 2023,7 Aug 2023,Assented,19  of 2023,11/08/2023 ,,
109,"THE INDIAN INSTITUTES OF MANAGEMENT (AMENDMENT) BILL, 2023",EDUCATION,,28 Jul 2023,4 Aug 2023,8 Aug 2023,Assented,23  of 2023,11/08/2023 ,,
102,"THE OFFSHORE AREAS MINERAL (DEVELOPMENT AND REGULATION) AMENDMENT BILL, 2023",MINES,,27 Jul 2023,1 Aug 2023,3 Aug 2023,Assented,17  of 2023,10/08/2023 ,,
101,"THE MINES AND MINERALS (DEVELOPMENT AND REGULATION) AMENDMENT BILL, 2023",COAL AND MINES,,26 Jul 2023,28 Jul 2023,2 Aug 2023,Assented,16  of 2023,09/08/2023 ,,
93,"THE REGISTRATION OF BIRTHS AND DEATHS (AMENDMENT) BILL, 2023",HOME AFFAIRS,,26 Jul 2023,1 Aug 2023,7 Aug 2023,Assented,20  of 2023,11/08/2023 ,,
82,"THE NATIONAL DENTAL COMMISSION BILL, 2023",HEALTH AND FAMILY WELFARE,,24 Jul 2023,28 Jul 2023,8 Aug 2023,Assented,21  of 2023,11/08/2023 ,,
83,"THE NATIONAL NURSING AND MIDWIFERY COMMISSION BILL, 2023",HEALTH AND FAMILY WELFARE,,24 Jul 2023,28 Jul 2023,8 Aug 2023,Assented,26  of 2023,12/08/2023 ,,
91,"THE CONSTITUTION (SCHEDULED CASTES) ORDER (AMENDMENT) BILL, 2023",SOCIAL JUSTICE AND EMPOWERMENT,,24 Jul 2023,1 Aug 2023,9 Aug 2023,Assented,24  of 2023,12/08/2023 ,,
XLVI,"The Cinematograph (Amendment) Bill, 2023",INFORMATION AND BROADCASTING,,20 Jul 2023,,27 Jul 2023,Assented,12  of 2023,04/08/2023 ,,
81,"THE COASTAL AQUACULTURE AUTHORITY (AMENDMENT) BILL, 2023","fisheries, animal husbandry and dairying",,5 Apr 2023,7 Aug 2023,9 Aug 2023,Assented,27  of 2023,12/08/2023 ,,
80,"THE FOREST (CONSERVATION) AMENDMENT BILL, 2023",ENVIRONMENT AND FORESTS,,29 Mar 2023,26 Jul 2023,2 Aug 2023,Assented,15  of 2023,04/08/2023 ,,
64,"The Appropriation Bill, 2023",FINANCE,,23 Mar 2023,23 Mar 2023,,Assented,4  of 2023,29/03/2023 ,,
65,"THE APPROPRIATION (NO. 2) BILL, 2023",FINANCE,,21 Mar 2023,21 Mar 2023,,Assented,5  of 2023,29/03/2023 ,,
66,"THE JAMMU AND KASHMIR APPROPRIATION BILL, 2023",FINANCE,,21 Mar 2023,21 Mar 2023,,Assented,7  of 2023,29/03/2023 ,,
67,"THE JAMMU AND KASHMIR APPROPRIATION (No. 2) BILL, 2023",FINANCE,,21 Mar 2023,21 Mar 2023,,Assented,6  of 2023,29/03/2023 ,,
62,"The Inter-Services Organisations (Command, Control and Discipline) Bill, 2023",DEFENCE,,15 Mar 2023,4 Aug 2023,8 Aug 2023,Assented,28  of 2023,15/08/2023 ,,
17,"The Finance Bill, 2023",FINANCE,,1 Feb 2023,24 Mar 2023,27 Mar 2023,Assented,,31/03/2023 ,,
299,"THE JAN VISHWAS (AMENDMENT OF PROVISIONS) BILL, 2022",COMMERCE AND INDUSTRY,,22 Dec 2022,27 Jul 2023,2 Aug 2023,Assented,18  of 2023,11/08/2023 ,,
245,"THE APPROPRIATION (No. 4) BILL, 2022",FINANCE,,14 Dec 2022,14 Dec 2022,21 Dec 2022,Assented,21  of 2022,24/12/2022 ,,
246,"THE APPROPRIATION (No. 5) BILL, 2022",FINANCE,,14 Dec 2022,14 Dec 2022,21 Dec 2022,Assented,22  of 2022,24/12/2022 ,,
217,"THE CONSTITUTION (SCHEDULED TRIBES) ORDER (SECOND AMENDMENT) BILL, 2022",TRIBAL AFFAIRS,,9 Dec 2022,15 Dec 2022,22 Dec 2022,Assented,1  of 2023,02/01/2023 ,,
218,"THE CONSTITUTION (SCHEDULED TRIBES) ORDER (THIRD AMENDMENT) BILL, 2022",TRIBAL AFFAIRS,,9 Dec 2022,16 Dec 2022,26 Jul 2023,Assented,14  of 2023,04/08/2023 ,,
219,"THE CONSTITUTION (SCHEDULED TRIBES) ORDER (FOURTH AMENDMENT) BILL, 2022",TRIBAL AFFAIRS,,9 Dec 2022,19 Dec 2022,22 Dec 2022,Assented,2  of 2023,02/01/2023 ,,
220,"THE CONSTITUTION (SCHEDULED TRIBES) ORDER (FIFTH AMENDMENT) BILL, 2022",TRIBAL AFFAIRS,,9 Dec 2022,21 Dec 2022,25 Jul 2023,Assented,13  of 2023,04/08/2023 ,,
215,"THE MULTI-STATE CO-OPERATIVE SOCIETIES (AMENDMENT) BILL, 2022",Co-operation,,7 Dec 2022,25 Jul 2023,1 Aug 2023,Assented,11  of 2023,03/08/2023 ,,
185,"THE COMPETITION (AMENDMENT) BILL, 2022",CORPORATE AFFAIRS,,5 Aug 2022,29 Mar 2023,3 Apr 2023,Assented,9  of 2023,11/04/2023 ,,
186,"THE NEW DELHI INTERNATIONAL ARBITRATION CENTRE (AMENDMENT) BILL, 2022",LAW AND JUSTICE,,5 Aug 2022,8 Aug 2022,14 Dec 2022,Assented,23  of 2022,30/12/2022 ,,
177,"THE ENERGY CONSERVATION (AMENDMENT) BILL, 2022",POWER,,3 Aug 2022,8 Aug 2022,12 Dec 2022,Assented,19  of 2022,19/12/2022 ,,
176,"THE CENTRAL UNIVERSITIES (AMENDMENT) BILL, 2022",EDUCATION,,1 Aug 2022,3 Aug 2022,8 Aug 2022,Assented,17  of 2022,16/08/2022 ,,
123,"The Family Courts (Amendment) Bill, 2022",LAW AND JUSTICE,,18 Jul 2022,26 Jul 2022,4 Aug 2022,Assented,16  of 2022,12/08/2022 ,,
